id,douban_id,name,year,rating
0,26363254,战狼2,2017,7.5
1,1849031,当幸福来敲门 The Pursuit of Happyness,2006,8.9
2,26289138,李雷和韩梅梅,2017,3.0
3,2567647,福音战士新剧场版：Q ヱヴァンゲリヲン新劇場版：Q,2012,8.3
4,24753810,战狼,2015,6.8
5,25815034,湄公河行动,2016,8.0
6,26260853,速度与激情8 The Fate of the Furious,2017,7.1
7,10807909,智取威虎山,2014,7.7
8,10727641,碟中谍5：神秘国度 Mission: Impossible - Rogue Nation,2015,7.7
9,23788440,杀破狼2 殺破狼2,2015,7.3
10,26270502,绣春刀II：修罗战场,2017,7.6
11,25765735,金刚狼3：殊死一战 Logan,2017,8.3
12,1578714,神奇女侠 Wonder Woman,2017,7.2
13,3025447,金蝉脱壳 Escape Plan,2013,7.6
14,1292720,阿甘正传 Forrest Gump,1994,9.4
15,1292052,肖申克的救赎 The Shawshank Redemption,1994,9.6
16,3793023,三傻大闹宝莱坞 3 Idiots,2009,9.1
17,3011091,忠犬八公的故事 Hachi: A Dog's Tale,2009,9.2
18,2209573,贫民窟的百万富翁 Slumdog Millionaire,2008,8.5
19,1298653,荒岛余生 Cast Away,2000,8.4
20,6786002,触不可及 Intouchables,2011,9.1
21,4023638,国王的演讲 The King's Speech,2010,8.3
22,3792799,岁月神偷 歲月神偷,2010,8.6
23,1292656,心灵捕手 Good Will Hunting,1997,8.7
24,26787124,青禾男高,2017,4.4
25,26831709,十七岁的雨季,2017,
26,26650037,秘果,2017,5.0
27,26290642,致青春·原来你还在这里,2016,4.0
28,26611083,在世界中心呼唤爱,2016,4.2
29,24847340,小时代3：刺金时代,2014,4.3
30,25911694,摆渡人,2016,4.0
31,26301582,微微一笑很倾城,2016,5.1
32,26323026,临时演员,2017,3.7
33,26259634,何以笙箫默,2015,3.6
34,2567646,福音战士新剧场版：破 ヱヴァンゲリヲン新劇場版：破,2009,9.2
35,1308892,新世纪福音战士剧场版：Air/真心为你 新世紀エヴァンゲリオン劇場版 Air/まごころを、君に,1997,9.4
36,3187790,空之境界 第五章 矛盾螺旋 劇場版 空の境界 第五章 矛盾螺旋,2008,9.2
37,4074292,凉宫春日的消失 涼宮ハルヒの消失,2010,9.0
38,3908423,夏日大作战 サマーウォーズ,2009,8.6
39,1291936,攻壳机动队 攻殻機動隊,1995,8.9
40,7051373,剑风传奇 黄金时代篇2：多尔多雷攻略 ベルセルク 黄金時代篇II ドルドレイ攻略,2012,8.5
41,1422063,最终幻想7：圣子降临 ファイナルファンタジーVII アドベントチルドレン,2005,8.2
42,10569151,剧场版魔法少女小圆 新篇 叛逆的故事 劇場版 魔法少女まどか☆マギカ [新編] 叛逆の物語,2013,8.8
43,1865703,红辣椒 パプリカ,2006,8.8
44,24695277,一个人的武林,2014,6.2
45,11610281,敢死队3 The Expendables 3,2014,6.7
46,20277632,飓风营救3 Taken 3,2014,6.3
47,23761370,速度与激情7 Furious 7,2015,8.3
48,3082452,狼牙,2008,6.1
49,5996801,狄仁杰之神都龙王,2013,6.5
50,25798448,解救吾先生,2015,7.8
51,24405378,王牌特工：特工学院 Kingsman: The Secret Service,2015,8.4
52,24719063,烈日灼心,2015,7.9
53,20505982,寒战2 寒戰II,2016,6.9
54,26284621,追凶者也,2016,7.6
55,1305487,猫鼠游戏 Catch Me If You Can,2002,8.7
56,26266072,谍影重重5 Jason Bourne,2016,7.3
57,25820460,美国队长3 Captain America: Civil War,2016,7.7
58,3068206,碟中谍4 Mission: Impossible - Ghost Protocol,2011,8.2
59,25919910,师父,2015,8.1
60,25823132,暗杀 암살,2015,8.0
61,3821067,一代宗师 一代宗師,2013,7.7
62,6390823,美国队长2 Captain America: The Winter Soldier,2014,7.9
63,1578507,谍影重重3 The Bourne Ultimatum,2007,8.7
64,6845667,秘密特工 The Man from U.N.C.L.E.,2015,8.0
65,1866473,蚁人 Ant-Man,2015,7.6
66,3592854,疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,2015,8.5
67,1428602,杀破狼 殺破狼,2005,7.2
68,10535562,突袭2：暴徒 The Raid 2: Berandal,2014,7.8
69,10763164,扫毒 掃毒,2013,7.2
70,10344754,毒战 毒戰,2012,7.2
71,24745500,绣春刀,2014,7.5
72,1301168,卧虎藏龙 臥虎藏龍,2000,7.9
73,26667056,逆时营救,2017,4.9
74,2303845,刺客聂隐娘,2015,7.2
75,10485647,X战警：逆转未来 X-Men: Days of Future Past,2014,8.2
76,1866479,复仇者联盟 The Avengers,2012,8.0
77,25937854,银河护卫队2 Guardians of the Galaxy Vol. 2,2017,8.2
78,3395373,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,2012,8.5
79,4746257,明日边缘 Edge of Tomorrow,2014,8.0
80,3025375,奇异博士 Doctor Strange,2016,7.7
81,1889243,星际穿越 Interstellar,2014,9.1
82,25786060,X战警：天启 X-Men: Apocalypse,2016,7.8
83,24750534,蝙蝠侠大战超人：正义黎明 Batman v Superman: Dawn of Justice,2016,6.6
84,25894431,星球大战外传：侠盗一号 Rogue One: A Star Wars Story,2016,7.3
85,22939161,星际迷航3：超越星辰 Star Trek Beyond,2016,7.3
86,2124586,飓风营救 Taken,2008,8.2
87,6537500,速度与激情6 Furious 6,2013,7.7
88,10746175,惊天危机 White House Down,2013,7.3
89,10598440,空中营救 Non-Stop,2014,7.5
90,6040982,敢死队2 The Expendables 2,2012,6.8
91,7916027,赤焰战场2 Red 2,2013,7.1
92,1292001,海上钢琴师 La leggenda del pianista sull'oceano,1998,9.2
93,1291546,霸王别姬,1993,9.5
94,1291828,天堂电影院 Nuovo Cinema Paradiso,1988,9.1
95,1295644,这个杀手不太冷 Léon,1994,9.4
96,1295124,辛德勒的名单 Schindler's List,1993,9.4
97,1292849,拯救大兵瑞恩 Saving Private Ryan,1998,8.8
98,1292224,飞越疯人院 One Flew Over the Cuckoo's Nest,1975,9.0
99,1298624,闻香识女人 Scent of a Woman,1992,8.9
100,1292064,楚门的世界 The Truman Show,1998,9.0
101,1306249,唐伯虎点秋香 唐伯虎點秋香,1993,8.4
102,1316510,射雕英雄传之东成西就 射鵰英雄傳之東成西就,1993,8.7
103,1299398,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,1995,8.9
104,1302425,喜剧之王 喜劇之王,1999,8.5
105,1297518,九品芝麻官,1994,8.1
106,1482072,穿普拉达的女王 The Devil Wears Prada,2006,7.9
107,10741643,我的个神啊 PK,2014,8.3
108,10777687,7号房的礼物 7번방의 선물,2013,8.6
109,1291560,龙猫 となりのトトロ,1988,9.1
110,21937452,素媛 소원,2013,9.1
111,4917726,阳光姐妹淘 써니,2011,8.8
112,2149806,入殓师 おくりびと,2008,8.8
113,4202302,借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,2010,8.7
114,2213597,朗读者 The Reader,2008,8.5
115,1293839,罗马假日 Roman Holiday,1953,8.9
116,1292722,泰坦尼克号 Titanic,1997,9.2
117,1292274,幸福终点站 The Terminal,2004,8.6
118,4164444,127小时 127 Hours,2010,8.1
119,1309016,百万美元宝贝 Million Dollar Baby,2004,8.5
120,1419936,战争之王 Lord of War,2005,8.5
121,4798888,叫我第一名 Front of the Class,2008,8.6
122,1418519,铁拳男人 Cinderella Man,2005,8.7
123,1907966,疯狂原始人 The Croods,2013,8.7
124,10577869,时空恋旅人 About Time,2013,8.6
125,1292401,真爱至上 Love Actually,2003,8.5
126,3205624,社交网络 The Social Network,2010,8.1
127,1306029,美丽心灵 A Beautiful Mind,2001,8.9
128,5977835,桃姐,2011,8.2
129,1292063,美丽人生 La vita è bella,1997,9.5
130,1291818,饮食男女 飲食男女,1994,9.0
131,1303037,喜宴,1993,8.8
132,1291548,死亡诗社 Dead Poets Society,1989,8.9
133,1291875,阳光灿烂的日子,1994,8.7
